Dimension,Vecinos,C,Accuracy
1,6,0.001,0.2849
1,6,0.01,0.4292
1,6,0.1,0.4662
1,6,1,0.4907
1,6,10,0.4937
1,6,100,0.4946
1,6,1000,0.4952
2,5,0.001,0.3761
2,5,0.01,0.513
2,5,0.1,0.5849
2,5,1,0.6215
2,5,10,0.625
2,5,100,0.6255
2,5,1000,0.6256
3,6,0.001,0.4733
3,6,0.01,0.6097
3,6,0.1,0.8137
3,6,1,0.8364
3,6,10,0.8392
3,6,100,0.8398
3,6,1000,0.8399
4,5,0.001,0.5823
4,5,0.01,0.7774
4,5,0.1,0.8247
4,5,1,0.8375
4,5,10,0.8491
4,5,100,0.854
4,5,1000,0.855
5,6,0.001,0.697
5,6,0.01,0.8051
5,6,0.1,0.8549
5,6,1,0.8756
5,6,10,0.8822
5,6,100,0.884
5,6,1000,0.8842
6,4,0.001,0.8942
6,4,0.01,0.9358
6,4,0.1,0.9418
6,4,1,0.9433
6,4,10,0.9437
6,4,100,0.9437
6,4,1000,0.9436
7,6,0.001,0.8592
7,6,0.01,0.8924
7,6,0.1,0.918
7,6,1,0.9412
7,6,10,0.9435
7,6,100,0.9435
7,6,1000,0.9437
8,4,0.001,0.9321
8,4,0.01,0.9451
8,4,0.1,0.9494
8,4,1,0.9502
8,4,10,0.9511
8,4,100,0.951
8,4,1000,0.9512
9,6,0.001,0.8803
9,6,0.01,0.9082
9,6,0.1,0.9359
9,6,1,0.9475
9,6,10,0.9507
9,6,100,0.951
9,6,1000,0.9511
10,9,0.001,0.8934
10,9,0.01,0.9399
10,9,0.1,0.9504
10,9,1,0.9512
10,9,10,0.9505
10,9,100,0.9504
10,9,1000,0.9503
50,9,0.001,0.9578
50,9,0.01,0.9617
50,9,0.1,0.9641
50,9,1,0.9645
50,9,10,0.9647
50,9,100,0.9647
50,9,1000,0.9648
100,9,0.001,0.9617
100,9,0.01,0.9643
100,9,0.1,0.9661
100,9,1,0.9672
100,9,10,0.967
100,9,100,0.9673
100,9,1000,0.9673
200,7,0.001,0.9626
200,7,0.01,0.9665
200,7,0.1,0.9671
200,7,1,0.9672
200,7,10,0.9671
200,7,100,0.9671
200,7,1000,0.9668
