Dimension,Vecinos,Mindist,C,Accuracy
1,500,0.5,0.001,0.3846
1,500,0.5,0.01,0.5686
1,500,0.5,0.1,0.604
1,500,0.5,1,0.6079
1,500,0.5,10,0.6082
1,500,0.5,100,0.6082
1,500,0.5,1000,0.6083
2,5,0.25,0.001,0.7553
2,5,0.25,0.01,0.862
2,5,0.25,0.1,0.8891
2,5,0.25,1,0.896
2,5,0.25,10,0.8968
2,5,0.25,100,0.8969
2,5,0.25,1000,0.897
3,5,0.75,0.001,0.8577
3,5,0.75,0.01,0.9027
3,5,0.75,0.1,0.914
3,5,0.75,1,0.9148
3,5,0.75,10,0.915
3,5,0.75,100,0.9149
3,5,0.75,1000,0.9148
4,5,0.99,0.001,0.8639
4,5,0.99,0.01,0.9015
4,5,0.99,0.1,0.9086
4,5,0.99,1,0.9105
4,5,0.99,10,0.9106
4,5,0.99,100,0.9106
4,5,0.99,1000,0.9106
5,1000,0.99,0.001,0.7595
5,1000,0.99,0.01,0.7822
5,1000,0.99,0.1,0.7881
5,1000,0.99,1,0.789
5,1000,0.99,10,0.7888
5,1000,0.99,100,0.7888
5,1000,0.99,1000,0.7888
6,5,0.99,0.001,0.9216
6,5,0.99,0.01,0.9318
6,5,0.99,0.1,0.9341
6,5,0.99,1,0.935
6,5,0.99,10,0.9351
6,5,0.99,100,0.9351
6,5,0.99,1000,0.9351
7,5,0.5,0.001,0.9367
7,5,0.5,0.01,0.9464
7,5,0.5,0.1,0.9474
7,5,0.5,1,0.9474
7,5,0.5,10,0.9475
7,5,0.5,100,0.9476
7,5,0.5,1000,0.9476
8,5,0.99,0.001,0.9264
8,5,0.99,0.01,0.9379
8,5,0.99,0.1,0.9418
8,5,0.99,1,0.9421
8,5,0.99,10,0.9422
8,5,0.99,100,0.9422
8,5,0.99,1000,0.9422
9,5,0.75,0.001,0.9311
9,5,0.75,0.01,0.9426
9,5,0.75,0.1,0.9459
9,5,0.75,1,0.946
9,5,0.75,10,0.9461
9,5,0.75,100,0.9461
9,5,0.75,1000,0.9461
10,5,0.75,0.001,0.9367
10,5,0.75,0.01,0.9461
10,5,0.75,0.1,0.9478
10,5,0.75,1,0.9481
10,5,0.75,10,0.9481
10,5,0.75,100,0.9481
10,5,0.75,1000,0.9481
50,5,0.1,0.001,0.9469
50,5,0.1,0.01,0.9478
50,5,0.1,0.1,0.9469
50,5,0.1,1,0.9164
50,5,0.1,10,0.7778
50,5,0.1,100,0.7224
50,5,0.1,1000,0.7173
100,5,0.75,0.001,0.9464
100,5,0.75,0.01,0.9493
100,5,0.75,0.1,0.9509
100,5,0.75,1,0.9446
100,5,0.75,10,0.7647
100,5,0.75,100,0.438
100,5,0.75,1000,0.2729
200,5,0.75,0.001,0.95
200,5,0.75,0.01,0.9524
200,5,0.75,0.1,0.9537
200,5,0.75,1,0.9509
200,5,0.75,10,0.9053
200,5,0.75,100,0.5208
200,5,0.75,1000,0.1222
