n_components,trustworthiness,continuity,normalized_stress,neighborhood_hit,shepard_diagram_correlation,aggregate,elapsed_time,metrics_time
1,0.6215438453727672,0.841192696251591,0.5860478154482611,0.3516714285714286,0.38675548262120796,0.5230231274737468,1.7719115689978935,47.90994387102546
2,0.7385681564006121,0.9364198661384666,0.41740973174130064,0.4708142857142857,0.4986896854883094,0.6454164524000747,2.067757332988549,48.943909670982976
3,0.8374787623528739,0.9711339816655464,0.3178845050866647,0.5081285714285714,0.6255880660744403,0.7248889752869534,2.4899754149955697,48.765174972009845
4,0.9031551134819731,0.9843831958010955,0.25202733831643737,0.6268142857142857,0.7193538561761018,0.7963358225714039,2.3311789539875463,48.525100739032496
5,0.9378484475780502,0.9893764026143043,0.20774086952450052,0.708857142857143,0.7644085552552513,0.8385499357560496,2.4473531980183907,48.344145816983655
6,0.9662646396750711,0.9930808832572973,0.17389527120537512,0.7824,0.7850128247028755,0.8705726152859738,2.5946591730462387,48.334334935003426
7,0.9755446076398324,0.9948869899746864,0.15093424079810408,0.8232142857142857,0.7992652355857675,0.8883953756232936,2.692153370997403,48.30024754797341
8,0.9836175464439455,0.9961565436265607,0.13271118337432683,0.8529,0.8202861963121919,0.9040498206016743,2.760391191986855,50.134640008967835
9,0.9891536718962287,0.9970450752971125,0.11657233052652514,0.8641857142857141,0.8419288906415752,0.915148204318821,3.0188210119958967,48.50656461599283
10,0.9919219355576849,0.9976203109134334,0.10379439711874694,0.8795,0.853621676501484,0.923773905170771,3.1765966389793903,48.507072245993186
50,0.9998392345866167,0.9998960370693477,0.009375801938224192,0.9389571428571427,0.9807962596959767,0.982022574454172,9.937993550032843,53.222965459979605
100,0.999960003146318,0.9999697166883572,0.0020718401897407927,0.934757142857143,0.9956729696443227,0.98565759842928,11.507693248975556,63.344161535962485
200,0.9999890279307238,0.9999909529053387,0.00030978722291211385,0.931342857142857,0.9991422856093198,0.9860310672730656,21.79155256098602,75.9976445690263
